$E_{\mathregular{g}}^{\mathregular{PBE}}$ (eV),$E_{\mathregular{g}}^{\mathregular{GLLB-SC}}$ (eV),$E_{\mathregular{g}}^{\mathregular{SCAN}}$ (eV),$E_{\mathregular{g}}^{\mathregular{HSE}}$ (eV),$E_{\mathregular{g}}^{\mathregular{Exp}}$ (eV)
1.7049999999999996,,,,
0.8498,,,,
2.1744000000000003,,,2.6125540000000003,
0.0,,,,
1.8454999999999997,,,,
1.8494,4.03,,2.960902,
1.0234,,,,
0.0,,,,
3.734,6.57,,6.0412099999999995,
0.0,,,,
0.0,,,,
0.0,,,0.0,
0.218,,,,
3.3409,,,4.006725,
0.0,,,,
2.6037,,,,
0.0,,,,
5.3889,,,,
4.6082,7.57,,,
2.3173,,,,
2.8325,,,,
3.7764,,,,
0.6333,,,,
2.4965,,,,
1.3005000000000004,,,,
2.8166,,,,
0.02200000000000002,,,,
0.0,,,,
2.6065,,,,
0.0,,,,
3.4758,,,,
2.5381,,,,
0.0,,,0.0,
1.215,,,2.262292,
4.8193,,,,
0.0,,,,
0.0,,,,
0.14360000000000014,,,,
0.0,,,,
1.2976,,,,
2.1012,,,,
0.0,,,,
4.2043,,,,
2.7539,,,3.9265510000000003,
3.4013,,,,
0.0,,,,
0.0,,,,
0.8798,,,,
4.7017,,,6.005125,
0.0,,,,
0.0,,,,
0.0,,,,
0.13999999999999968,,,,
1.8468,,,,
0.6916,,,,
0.0,,,,
0.0,,,,
3.1009,,,,
0.0,,,,
2.3930000000000002,,,,
2.76,,,,
3.4386,,,,
5.9404,,,,
0.0,,,,
0.0,,,,
0.4758,,,,
0.0,,,,
0.0,,,0.0,0.0
1.2411,,,,
0.6072,,,,
0.0,,,,
4.1596,,,,
0.0,,,,
2.2437000000000005,,,,
0.0,,,,
5.2993,,,,
0.0,,,,
3.0522,,,,
0.0,,,,
2.3409,,,,
3.498,,,,
2.8805,,,,
2.9410000000000003,,,,
0.0,,,,
0.0,,,,
0.0,,,0.0,
1.9382,,,,
2.96,,,,
0.1274999999999995,,,,
0.0,,,,0.0
0.0,,,0.0,0.0
3.0547000000000004,5.63,,,
0.5724999999999998,,,,
3.5191,,,,
1.5013,2.53,,,
0.0,,,,
3.9039,,,,
0.0,,,,
0.0,,,,
5.2036,,,,
5.4388,,,,
0.0,,,,
0.0,,,,
4.3743,,,,
0.21860000000000035,,,,
0.0,,,,
4.1737,,,,
0.31099999999999994,,,,
5.1549,,,,
0.8638999999999999,,,,
1.9826000000000008,,,,
2.7859,,,,
0.0,,,,
0.0,,,,
1.2423000000000002,,,,
0.0,,,,
0.0,,,,
2.5322,,,,
0.0,,,,2.25
2.4152,,,,
2.0584,,,,
0.0,,,,
1.9707,,,,
0.0,,,,
3.452,,,,
0.7091999999999999,,,,
2.6375999999999995,,,,
3.7965,,,,
2.083,,,,
2.3366,,,,
2.2528,,,,
0.10489999999999976,0.159,0.4589,0.9595360000000001,0.53
0.0,,,,
3.1578,,,,
0.0,,,,0.0
0.0,,,,
2.2745999999999995,,,,
0.0,,,,
0.0,,,0.0,
2.6359000000000004,,,,
0.05810000000000004,,,,
2.311,4.0,,,
1.8912,,,,
3.7552,,,,
1.4824,,,,
1.8069,,,,
1.2172,,,,
0.0,,,,
0.7937000000000001,,,,
0.5842,,,,
0.0,,,,
0.0,,,,
0.8428,,,,
2.1997,,,,
2.5005,,,,
0.0,,,,
0.9817,,,,
2.7792,,,4.332635,
2.7033,,,,
0.0,,,,
2.1752,,,,
0.0,,,,
3.9706,,,,
1.0365999999999995,,,,
0.0,,,,
4.1704,7.4,,,
2.5032,,,,
0.0,,,,
1.2284000000000002,,,,
0.0,,,,
3.5269,,,,
1.3035,,,,
4.6315,,,,
0.0,,,,
0.9393,,,,
0.0,,,,
0.2448000000000001,,,,
0.0,,,,
1.1637000000000004,,,,
0.0,,,0.0,
0.01890000000000036,,,,
0.4474,,,,
0.0,0.508,,0.0,
4.1067,,,,
1.1832000000000005,,,,
0.0,,,,
0.0,,,,
3.2162,,,,
0.0,,,,
0.9435,,,,
5.0474999999999985,,,,
4.5625,,,,
3.3477,,,,
0.0,,,0.0,
3.6846,,,,
0.0,,,0.0,
1.371099999999999,,,,
0.0,,,,
3.7083,,,,
1.2409000000000003,,,,
1.5096,,,,
0.0,,,,
4.4497,,,,
3.8583,,,,
0.0,,,,
3.3298000000000005,,,,
0.0,,,,
3.0195,,,,
4.9929,,,,
0.042100000000000026,,,,
1.5316,,,,
4.6917,,,,
2.3774,,,,
0.0,,,0.0,
2.0044,,,,
0.0,,,,
2.6617,,,,
0.0,,,,
4.5312,,,,
2.8534,,,,
0.0,,,,0.0
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
2.7579,,,,
3.1211,,,,
0.0,,,,
1.9598,,,,
1.4195,,,,
0.0,,,,
2.4533000000000005,,,,
0.7955000000000001,,,,
0.3679000000000001,,,,
0.0,,,0.0,
2.7486999999999995,,,,
1.8721,,,,
1.6077,2.77,,,
0.0,,,,
2.2605,,2.8401,,2.32
2.6487000000000003,,,,
0.0,,,0.0,
2.4730000000000003,,,,
0.9874,,,,
3.6065,,,,
0.19279999999999964,,,,
0.0,,,0.0,
1.1976,,,,
0.0,,,,
0.0,,,,
0.5216,,,,
4.6291,,,,
4.7503,,,,
3.1787,,,,
4.8966,,,,
3.9512,,,,
0.0,,,,0.0
1.8132999999999997,,,,
0.0,,,,
1.406,,,,
0.0,,,,
4.0989,,,,
0.8246,2.8,,1.429733,
0.21879999999999988,,,,
0.0,,,,
1.3868000000000005,,,,
2.4939,,,,
0.0,,,,
0.26770000000000005,,,,
3.8712,,,,
0.0,,,,
1.4507999999999996,,,,
0.0,,,,
1.9131000000000005,,,,
4.6145000000000005,,,,
0.0,,,,
2.7305,,,4.061234,
3.7708,,,,
2.3046,,,,
5.402000000000001,,,,
0.0,,,,
3.236,5.8,,4.712542,
4.562,,,,
0.0,,,,
3.5732,,,,
2.8223000000000003,,,,
0.0724,,,,
0.0,,,,
0.0,,,,
0.0,,,0.0,
0.0,,,,
0.8142,,,,
0.0,,,,
