True,Pred,Fidelity,Diff
0.0,0.011032499372959137,PBE,-0.011032499372959137
1.5443,1.4852758646011353,PBE,0.05902413539886475
2.4635,2.244877815246582,PBE,0.21862218475341777
0.7301,1.3698248863220215,PBE,-0.6397248863220215
1.9365999999999999,1.547980546951294,PBE,0.38861945304870593
0.3628,-0.017615221440792084,PBE,0.3804152214407921
1.5391000000000004,1.1758266687393188,PBE,0.3632733312606815
0.0,0.006948225200176239,PBE,-0.006948225200176239
0.0,0.007993526756763458,PBE,-0.007993526756763458
4.0278,3.8468925952911377,PBE,0.18090740470886235
1.9620000000000002,2.051145076751709,PBE,-0.0891450767517088
1.6912,1.2994396686553955,PBE,0.39176033134460453
1.8353,2.0010788440704346,PBE,-0.16577884407043464
0.16530000000000022,0.5235641598701477,PBE,-0.3582641598701475
0.7452000000000001,0.7004736661911011,PBE,0.04472633380889901
0.0,-0.036242760717868805,PBE,0.036242760717868805
1.1255,0.8726204633712769,PBE,0.2528795366287231
0.0,0.016845934092998505,PBE,-0.016845934092998505
1.962,2.078249931335449,PBE,-0.11624993133544925
0.8250999999999995,1.1844302415847778,PBE,-0.35933024158477833
0.0,-0.0017682239413261414,PBE,0.0017682239413261414
3.6854,3.4508402347564697,PBE,0.23455976524353028
1.5737,1.4002346992492676,PBE,0.17346530075073252
3.4494000000000002,3.468184232711792,PBE,-0.01878423271179175
0.0,-0.01051696389913559,PBE,0.01051696389913559
0.0,0.6716318130493164,PBE,-0.6716318130493164
4.5052,4.275501728057861,PBE,0.229698271942139
0.9582999999999999,0.22204682230949402,PBE,0.7362531776905059
0.0,0.0008089318871498108,PBE,-0.0008089318871498108
0.0,-0.025236107409000397,PBE,0.025236107409000397
1.5383,0.9642370343208313,PBE,0.5740629656791687
0.20310000000000006,-0.008970193564891815,PBE,0.21207019356489187
0.0,0.11048796027898788,PBE,-0.11048796027898788
0.0,-0.021107040345668793,PBE,0.021107040345668793
0.0,0.00441395491361618,PBE,-0.00441395491361618
0.0,-0.013260148465633392,PBE,0.013260148465633392
3.8805999999999994,3.9536564350128174,PBE,-0.073056435012818
0.0,0.005721248686313629,PBE,-0.005721248686313629
0.0,-0.0012631788849830627,PBE,0.0012631788849830627
